page_url,h1,first_paragraph,outgoing_link_urls,image_urls
https://crawler-test.com/mobile/separate_mobile_with_mobile_not_subdomain,Consistent H1 Header Group O,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
https://crawler-test.com/mobile/dynamic,Consistent H1 Header Group A 1,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
https://crawler-test.com/mobile/responsive,Consistent H1 Header Group A 2,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
https://crawler-test.com/mobile/no_mobile_configuration,Consistent H1 Header Group A 3,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
https://crawler-test.com/mobile/other_desktop_that_links_to_the_same_mobile_pages,Separate desktop that links to the same mobile,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis.",https://crawler-test.com,
https://crawler-test.com/mobile/amp_with_separate_mobile,Consistent H1 Header Group D,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",,
https://crawler-test.com/mobile/responsive_with_amp,Consistent H1 Header Group E,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
https://crawler-test.com/mobile/amp_with_responsive,Consistent H1 Header Group E,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",,
https://crawler-test.com/mobile/no_mobile_with_amp,Consistent H1 Header Group F,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
https://crawler-test.com/mobile/amp_with_no_mobile,Consistent H1 Header Group F,,,
https://crawler-test.com/mobile/amp_no_references,Consistent H1 Header Group G,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.",https://crawler-test.com,
